mcq_id,question,difficulty,correct_option,option_b,option_c,option_d,topic,topic_name,option_a,id
82,Differentiate $\displaystyle{y = 2x\sin(x)}$.,1,$2\left(\sin\left(x\right)+x\cos\left(x\right)\right)$,$\left(\sin\left(2x\right)+x\cos\left(2x\right)\right)$,$2x\left(\sin\left(x\right)+x\cos\left(x\right)\right)$,$\left(2\sin\left(x\right)-2x\cos\left(x\right)\right)$,4,Differentiation,$2\left(\sin\left(x\right)+x\cos\left(x\right)\right)$,3
83,The image of the function $f(x)=x^3+\log (x)$ is,1,$\mathbb{R}$,"$(0,+\infty)$","$[0,+\infty)$","$(-\infty,0)$",3,Real Functions of a Single Variable,$\mathbb{R}$,4
84,"Find the values of the parameter $\alpha\in\mathbb R$ for which the function
\[
f_\alpha\colon \mathbb R\setminus\{0\}\to\mathbb R \ \text{ given by } \ f_\alpha(x)=\frac{\alpha -\cos( x)}{x^2}
\]
may be extended to a function defined on the whole real line.",3,$\alpha=1$.,$\alpha=1/2$.,"$\alpha\in [-1,1]$.",There is no such value of $\alpha$.,3,Real Functions of a Single Variable,$\alpha=1$.,5
85,"Find the values of the parameter $\alpha\in\mathbb R$ for which the function $f\colon\mathbb R\to\mathbb R$ defined by
\[
f(x)=
\begin{cases}
\cos (x) + \frac{\tan (x)}{x} & \text{if $x> 0$,}\\
\alpha \log(\operatorname{e} -x ) &\text{if $x\le  0$,}
\end{cases}
\],
where $\log$ denotes the logarithm with base $e$, is continuous.",2,$\alpha=2$.,$\alpha=0$.,$\alpha=1$.,The function is discontinuous at every point in $\mathbb{R}$.,3,Real Functions of a Single Variable,$\alpha=2$.,6
86,"Determine which of these functions are periodic:
\[
f(x) = \sin(\operatorname{e}^x),\qquad g(x)=\operatorname{e}^{\sin (x)},\qquad h(x) = x - [x],\qquad i(x) = x+ [x],
\]
where $[x]=\max\{n\in\mathbb{Z}:n\le x\}$ denotes the integer part of $x$.",3,$g$ and $h$.,$f$ and $g$.,$f$ and $i$.,$f$ and  $h$.,3,Real Functions of a Single Variable,$g$ and $h$.,7
87,"Calculate
\[
\lim_{x\to+\infty} \frac{\cos (x+[x]) - \sin(x-[x])}{x+[x]},
\]
where $[x]=\max\{n\in\mathbb{Z}:n\le x\}$ denotes the integer part of $x$.",1,$0$.,$+\infty$.,$-\infty$.,The limit does not exist.,3,Real Functions of a Single Variable,$0$.,8
93,Identify the Product Rule,1,$\displaystyle{\frac{dy}{dx}}={{u}\frac{dv}{dx}}+{{v}\frac{du}{dx}}$,$\displaystyle{\frac{dy}{dx}}={{u}\frac{du}{dx}}+{{v}\frac{dv}{dx}}$,$\displaystyle{\frac{dy}{dx}}={{u}\frac{dv}{dx}}-{{v}\frac{du}{dx}}$,$\displaystyle{\frac{dy}{dx}}=\frac{{v}\frac{du}{dx}-{u}\frac{dv}{dx}}{v^2}$,4,Differentiation,$\displaystyle{\frac{dy}{dx}}={{u}\frac{dv}{dx}}+{{v}\frac{du}{dx}}$,14
94,Differentiate $y(x)=\displaystyle{(4-x^3)e^{5x}}$.,1,$\displaystyle{\frac{dy}{dx}} = 5(4-x^3)e^{5x}-3x^2e^{5x}$,$\displaystyle{\frac{dy}{dx}} = 5(4-x^3)e^{5x}+3x^2e^{5x}$,$\displaystyle{\frac{dy}{dx}} = 5(4-x^2)e^{5x}-3x^2e^{5x}$,$\displaystyle{\frac{dy}{dx}} = 5(4-x^2)e^{5x}+3x^2e^{5x}$,4,Differentiation,$\displaystyle{\frac{dy}{dx}} = 5(4-x^3)e^{5x}-3x^2e^{5x}$,15
95,Differentiate ${y(x)= 3x^2 e^{4x}}$.,4,$\dfrac{dy}{dx}={12x^2e^{4x}}+{6xe^{4x}}$,$\dfrac{dy}{dx}={12x^2e^{4x}}+{6x^4e^{4x}}$,$\dfrac{dy}{dx}={12x^4e^{4x}}+{6x^4e^{4x}}$,$\dfrac{dy}{dx}={12x^2e^{3x}}+{6xe^{3x}}$,4,Differentiation,$\dfrac{dy}{dx}={12x^2e^{4x}}+{6xe^{4x}}$,16
96,Differentiate $\displaystyle{y = 4x^{2}{(e^{3x} + \cos(x))}}$.,3,$y'=\displaystyle{12x^{2}e^{3x}+8xe^{3x}-4x^{2}\sin(x) +8x\cos(x)}$  ,$y'=\displaystyle{12x^{2}e^{3x}-8xe^{3x}-4x^{2}\sin(x) +8x\cos(x)}$ ,$y'=\displaystyle{12x^{2}e^{3x}+8xe^{3x}+4x^{2}\sin(x) +8x\cos(x)}$  ,$y'=\displaystyle{12x^{2}e^{3x}-8xe^{3x}+4x^{2}\sin(x) +8x\cos(x)}$  ,4,Differentiation,$y'=\displaystyle{12x^{2}e^{3x}+8xe^{3x}-4x^{2}\sin(x) +8x\cos(x)}$  ,17
