quiz_id,mcq_1,mcq_2,mcq_3,mcq_4,mcq_5,mcq_6,mcq_7,mcq_8,mcq_9,mcq_10,topic_coverage_0,topic_coverage_1,topic_coverage_2,topic_coverage_3,topic_coverage_4,topic_coverage_5,topic_coverage_6,topic_coverage_7,topic_coverage_8,topic_coverage_9,difficulty_coverage_0,difficulty_coverage_1,difficulty_coverage_2,difficulty_coverage_3,difficulty_coverage_4,difficulty_coverage_5
0,605,697,1343,844,846,1688,241,1741,929,693,0.2,0.1,0.1,0.1,0.1,0.3,0.1,0.0,0.0,0.0,0.5,0.1,0.1,0.1,0.2,0.0
1,1741,796,792,1625,1403,1906,944,1562,811,1589,0.2,0.1,0.0,0.1,0.0,0.2,0.0,0.0,0.3,0.1,0.3,0.4,0.2,0.0,0.1,0.0
2,1584,1063,641,1690,962,1912,1777,698,206,1288,0.1,0.1,0.1,0.0,0.1,0.3,0.0,0.2,0.0,0.1,0.1,0.1,0.3,0.2,0.3,0.0
3,1036,1674,386,1777,223,1344,963,642,1054,690,0.1,0.0,0.0,0.1,0.0,0.2,0.1,0.3,0.0,0.2,0.2,0.4,0.0,0.3,0.1,0.0
4,958,858,381,1334,1434,1400,1139,965,850,683,0.0,0.0,0.1,0.1,0.0,0.1,0.2,0.1,0.2,0.2,0.4,0.3,0.0,0.1,0.2,0.0
5,1089,163,672,579,863,1827,842,162,1721,1815,0.1,0.4,0.1,0.1,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.2,0.6,0.1,0.0
6,769,309,1137,1072,853,1418,628,1434,648,1120,0.1,0.0,0.4,0.0,0.0,0.1,0.2,0.2,0.0,0.0,0.4,0.3,0.1,0.1,0.1,0.0
7,626,890,1801,19,973,1715,1104,420,1451,758,0.0,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.4,0.3,0.1,0.1,0.1,0.0
8,649,1330,361,231,1047,549,1850,1538,977,832,0.0,0.1,0.1,0.4,0.1,0.1,0.0,0.1,0.0,0.1,0.0,0.1,0.2,0.4,0.2,0.1
9,939,956,1631,739,1055,1543,1292,644,562,563,0.2,0.2,0.0,0.1,0.0,0.2,0.1,0.1,0.0,0.1,0.1,0.2,0.3,0.2,0.1,0.1
10,1431,832,1039,888,618,674,1071,675,646,1556,0.1,0.1,0.0,0.2,0.0,0.3,0.0,0.2,0.1,0.0,0.6,0.1,0.1,0.1,0.1,0.0
11,971,902,1769,963,23,176,1715,272,951,1070,0.0,0.3,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.4,0.3,0.1,0.2,0.4,0.0,0.0
12,185,714,1669,227,861,948,793,1713,29,1682,0.2,0.1,0.0,0.1,0.0,0.1,0.3,0.1,0.0,0.1,0.5,0.1,0.2,0.0,0.2,0.0
13,1268,1403,1045,1619,25,810,1288,5,221,380,0.1,0.2,0.0,0.1,0.2,0.0,0.0,0.1,0.3,0.0,0.2,0.2,0.3,0.2,0.1,0.0
14,1062,986,1593,1301,252,255,1402,971,174,713,0.1,0.1,0.1,0.1,0.2,0.0,0.1,0.0,0.2,0.1,0.3,0.3,0.2,0.2,0.0,0.0
15,903,947,611,1266,962,585,1735,1579,1240,1308,0.2,0.1,0.2,0.1,0.1,0.1,0.0,0.0,0.0,0.2,0.3,0.5,0.2,0.0,0.0,0.0
16,715,801,413,1034,1604,1258,840,1579,253,1284,0.0,0.0,0.0,0.1,0.2,0.1,0.2,0.0,0.3,0.1,0.2,0.3,0.2,0.2,0.0,0.1
17,859,207,1795,771,569,1278,1595,933,405,1277,0.1,0.1,0.0,0.1,0.1,0.0,0.2,0.1,0.3,0.0,0.3,0.0,0.5,0.0,0.2,0.0
18,1803,1267,793,1401,970,977,960,965,1759,25,0.1,0.0,0.0,0.2,0.2,0.0,0.1,0.0,0.0,0.4,0.5,0.0,0.1,0.4,0.0,0.0
19,481,1034,972,796,795,63,1831,964,969,1387,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.1,0.2,0.4,0.2,0.1,0.4,0.2,0.1,0.0
20,1272,1263,1321,1745,507,1338,552,225,766,1755,0.1,0.1,0.0,0.3,0.2,0.0,0.2,0.1,0.0,0.0,0.0,0.3,0.3,0.2,0.2,0.0
21,625,1793,736,1029,815,1568,919,1072,968,210,0.1,0.0,0.0,0.0,0.2,0.4,0.0,0.1,0.1,0.1,0.2,0.4,0.3,0.0,0.1,0.0
22,1654,737,62,1390,692,900,1694,271,1311,922,0.0,0.2,0.1,0.2,0.1,0.3,0.0,0.1,0.0,0.0,0.1,0.3,0.1,0.1,0.3,0.1
23,841,4,1799,567,1640,919,571,1447,937,1439,0.3,0.2,0.0,0.0,0.2,0.1,0.1,0.1,0.0,0.0,0.2,0.3,0.2,0.1,0.2,0.0
24,861,1540,803,1038,565,769,1239,1248,1747,1278,0.2,0.1,0.1,0.0,0.1,0.1,0.2,0.0,0.2,0.0,0.2,0.4,0.3,0.0,0.1,0.0
25,264,1407,1761,207,1365,223,1597,954,385,1277,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.3,0.3,0.1,0.1,0.2,0.1,0.3,0.3,0.0
26,8,1272,1247,1640,367,1648,569,1068,1723,266,0.2,0.3,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.2,0.7,0.0,0.0,0.1,0.0
27,20,1335,1273,31,943,167,305,1283,244,794,0.1,0.2,0.1,0.2,0.2,0.0,0.0,0.0,0.1,0.1,0.2,0.3,0.2,0.2,0.0,0.1
28,389,240,947,988,1763,969,955,243,1813,937,0.0,0.1,0.1,0.0,0.3,0.0,0.1,0.1,0.0,0.3,0.6,0.1,0.2,0.0,0.1,0.0
29,737,1844,791,1020,1294,478,584,647,219,768,0.2,0.1,0.1,0.2,0.0,0.1,0.1,0.2,0.0,0.0,0.0,0.2,0.1,0.4,0.2,0.1
30,1437,1404,1396,1235,639,1330,837,944,1027,1266,0.0,0.0,0.2,0.1,0.1,0.0,0.2,0.2,0.1,0.1,0.2,0.4,0.2,0.1,0.0,0.1
31,1539,841,1087,967,615,7,578,61,179,678,0.2,0.1,0.2,0.1,0.0,0.2,0.1,0.0,0.0,0.1,0.2,0.2,0.3,0.2,0.0,0.1
32,61,1743,1338,650,1010,1252,248,1807,1286,576,0.2,0.0,0.1,0.1,0.2,0.1,0.0,0.2,0.1,0.0,0.0,0.3,0.3,0.2,0.1,0.1
33,682,1278,186,597,293,1701,1033,213,555,967,0.0,0.0,0.2,0.2,0.0,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.1
34,1076,385,1295,1590,1265,967,1595,907,480,1825,0.0,0.1,0.1,0.2,0.2,0.0,0.0,0.1,0.2,0.1,0.4,0.1,0.2,0.3,0.0,0.0
35,871,973,1408,174,1912,1678,1683,798,875,1277,0.2,0.1,0.1,0.0,0.0,0.3,0.0,0.0,0.2,0.1,0.1,0.1,0.4,0.1,0.3,0.0
36,1255,1753,643,1296,959,1715,212,774,585,720,0.1,0.1,0.0,0.1,0.1,0.0,0.3,0.2,0.0,0.1,0.5,0.2,0.2,0.0,0.0,0.1
37,1317,1127,1909,802,248,953,479,1553,1555,863,0.0,0.1,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.1,0.0,0.3,0.1,0.2,0.4,0.0
38,416,1448,1062,1701,1254,256,215,967,964,628,0.1,0.0,0.0,0.1,0.2,0.1,0.1,0.2,0.0,0.2,0.1,0.4,0.1,0.1,0.2,0.1
39,645,1743,890,1718,976,1747,852,246,1878,1045,0.2,0.1,0.1,0.0,0.1,0.0,0.2,0.1,0.1,0.1,0.1,0.3,0.2,0.3,0.1,0.0
40,889,921,693,964,1139,20,186,1247,272,802,0.0,0.1,0.1,0.1,0.2,0.2,0.1,0.0,0.1,0.1,0.1,0.3,0.1,0.3,0.2,0.0
41,1741,888,889,505,1807,970,578,737,1781,390,0.2,0.0,0.0,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.2,0.4,0.4,0.0,0.0
42,239,693,1593,1602,81,1757,555,923,1681,1656,0.0,0.2,0.0,0.2,0.1,0.2,0.2,0.0,0.1,0.0,0.1,0.1,0.2,0.4,0.2,0.0
43,824,485,1078,1346,1332,699,368,620,964,801,0.0,0.1,0.2,0.1,0.0,0.3,0.0,0.0,0.2,0.1,0.4,0.1,0.1,0.2,0.2,0.0
44,881,1249,1351,566,733,175,773,895,252,21,0.1,0.3,0.1,0.0,0.2,0.2,0.1,0.0,0.0,0.0,0.1,0.0,0.3,0.6,0.0,0.0
45,719,1639,1689,809,15,888,1793,649,191,734,0.1,0.2,0.0,0.0,0.1,0.2,0.1,0.1,0.2,0.0,0.2,0.3,0.2,0.3,0.0,0.0
46,1257,367,1889,1403,945,378,841,552,24,1831,0.0,0.1,0.1,0.2,0.2,0.0,0.1,0.0,0.2,0.1,0.1,0.3,0.3,0.2,0.0,0.1
47,1036,7,313,974,1833,300,1752,1012,870,482,0.1,0.1,0.3,0.0,0.0,0.1,0.1,0.0,0.1,0.2,0.3,0.2,0.4,0.1,0.0,0.0
48,1057,1697,212,689,631,1809,1653,227,836,276,0.1,0.2,0.0,0.0,0.1,0.1,0.2,0.2,0.1,0.0,0.3,0.3,0.1,0.3,0.0,0.0
49,1068,482,1031,929,961,938,1911,1789,1250,845,0.0,0.2,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.2,0.1,0.4,0.0
50,930,364,1825,851,650,600,277,639,253,1682,0.1,0.2,0.0,0.1,0.2,0.0,0.1,0.2,0.1,0.0,0.0,0.0,0.7,0.3,0.0,0.0
51,849,838,266,717,363,1852,843,372,369,1036,0.1,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.2,0.1,0.1,0.5,0.3,0.0,0.1,0.0
52,566,1643,375,215,389,952,247,1277,7,1729,0.2,0.1,0.1,0.0,0.1,0.0,0.0,0.2,0.2,0.1,0.1,0.1,0.6,0.1,0.1,0.0
53,1725,1363,1072,566,613,1327,298,506,1765,1269,0.2,0.2,0.2,0.2,0.1,0.0,0.1,0.0,0.0,0.0,0.3,0.2,0.2,0.2,0.0,0.1
54,839,1878,565,824,399,372,1694,835,975,378,0.1,0.0,0.1,0.1,0.0,0.1,0.2,0.0,0.3,0.1,0.1,0.1,0.6,0.1,0.1,0.0
55,1757,1287,1098,1068,243,643,1886,1410,883,1148,0.0,0.0,0.2,0.0,0.1,0.1,0.1,0.3,0.1,0.1,0.2,0.4,0.0,0.2,0.2,0.0
56,1886,199,356,241,1724,1690,759,922,669,404,0.0,0.1,0.1,0.3,0.2,0.1,0.0,0.2,0.0,0.0,0.1,0.1,0.2,0.2,0.4,0.0
57,1062,274,1247,379,400,1126,1556,937,1398,1278,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.0,0.2,0.0,0.4,0.2,0.0,0.2,0.2,0.0
58,966,844,711,1070,585,913,31,569,1269,212,0.2,0.1,0.0,0.1,0.1,0.0,0.2,0.1,0.0,0.2,0.5,0.2,0.1,0.2,0.0,0.0
59,186,386,163,1014,232,950,972,811,181,206,0.0,0.2,0.1,0.0,0.1,0.1,0.0,0.2,0.1,0.2,0.3,0.1,0.5,0.1,0.0,0.0
60,6,1277,963,1807,1136,611,1278,1823,213,1583,0.1,0.0,0.2,0.0,0.2,0.1,0.0,0.1,0.2,0.1,0.0,0.4,0.1,0.2,0.3,0.0
61,888,249,880,1819,61,1256,217,55,970,992,0.0,0.1,0.1,0.0,0.2,0.2,0.0,0.2,0.1,0.1,0.3,0.0,0.3,0.3,0.1,0.0
62,889,943,716,740,239,865,1592,911,714,1807,0.0,0.2,0.0,0.1,0.2,0.1,0.3,0.0,0.0,0.1,0.3,0.1,0.2,0.2,0.2,0.0
63,852,1053,1154,780,1059,1277,169,735,888,713,0.1,0.2,0.1,0.0,0.0,0.1,0.3,0.0,0.2,0.0,0.2,0.1,0.2,0.2,0.3,0.0
64,1034,1755,178,1301,1279,1387,784,233,945,956,0.0,0.2,0.0,0.1,0.1,0.0,0.1,0.1,0.1,0.3,0.3,0.2,0.0,0.2,0.3,0.0
65,652,738,1366,1311,1747,1423,812,970,1564,387,0.1,0.0,0.3,0.1,0.0,0.1,0.0,0.2,0.1,0.1,0.1,0.2,0.3,0.2,0.1,0.1
66,1121,1568,1048,813,566,83,365,733,268,1129,0.1,0.1,0.2,0.0,0.0,0.2,0.1,0.0,0.3,0.0,0.4,0.2,0.3,0.0,0.1,0.0
67,1272,1026,1305,1550,959,947,739,1823,1580,838,0.0,0.0,0.1,0.1,0.2,0.2,0.2,0.0,0.0,0.2,0.3,0.3,0.2,0.1,0.1,0.0
68,1052,1254,1607,739,1265,1902,884,1801,969,881,0.0,0.0,0.1,0.0,0.3,0.3,0.1,0.0,0.1,0.1,0.2,0.2,0.3,0.3,0.0,0.0
69,1432,1439,1817,947,959,272,948,176,718,938,0.0,0.2,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.3,0.5,0.1,0.1,0.1,0.2,0.0
70,866,1631,479,844,949,62,840,911,944,1735,0.1,0.3,0.0,0.0,0.0,0.1,0.2,0.0,0.1,0.2,0.1,0.3,0.4,0.1,0.1,0.0
71,1030,1647,391,649,963,575,681,1086,846,1604,0.2,0.1,0.1,0.1,0.0,0.1,0.0,0.2,0.1,0.1,0.2,0.2,0.1,0.4,0.1,0.0
72,266,206,883,1596,233,879,1309,1687,62,1155,0.1,0.0,0.1,0.3,0.1,0.3,0.0,0.1,0.0,0.0,0.1,0.2,0.3,0.0,0.3,0.1
73,597,1836,310,712,799,1719,1654,1695,1850,362,0.1,0.2,0.2,0.3,0.0,0.0,0.2,0.0,0.0,0.0,0.1,0.4,0.1,0.3,0.1,0.0
74,887,1717,1278,1669,1261,1681,1333,1100,4,1409,0.1,0.2,0.1,0.1,0.1,0.2,0.0,0.1,0.1,0.0,0.1,0.1,0.2,0.0,0.5,0.1
75,1229,671,207,716,976,223,185,952,623,628,0.0,0.0,0.1,0.1,0.0,0.3,0.1,0.2,0.0,0.2,0.1,0.3,0.4,0.2,0.0,0.0
76,1593,922,1389,944,576,1817,1137,1060,1674,1028,0.3,0.0,0.2,0.0,0.2,0.0,0.0,0.1,0.1,0.1,0.3,0.2,0.2,0.0,0.3,0.0
77,1759,642,1428,851,1406,1643,565,770,1258,1420,0.1,0.1,0.1,0.0,0.1,0.0,0.3,0.2,0.1,0.0,0.2,0.3,0.3,0.1,0.0,0.1
78,1840,204,769,631,962,1335,977,365,1006,1687,0.1,0.1,0.1,0.2,0.0,0.0,0.1,0.1,0.1,0.2,0.2,0.1,0.4,0.3,0.0,0.0
79,1594,1316,839,1278,1403,1434,973,934,1328,1037,0.0,0.2,0.0,0.3,0.0,0.0,0.1,0.1,0.2,0.1,0.0,0.2,0.3,0.0,0.3,0.2
80,1116,1767,252,712,1769,639,1797,239,383,959,0.0,0.1,0.1,0.0,0.3,0.1,0.2,0.1,0.0,0.1,0.2,0.1,0.4,0.1,0.2,0.0
81,654,802,199,560,1699,1783,1727,616,1655,719,0.0,0.2,0.0,0.1,0.0,0.2,0.2,0.2,0.1,0.0,0.0,0.2,0.5,0.2,0.1,0.0
82,960,848,1439,1095,1839,1741,974,170,235,503,0.2,0.2,0.2,0.0,0.1,0.0,0.0,0.1,0.0,0.2,0.2,0.3,0.2,0.2,0.1,0.0
83,182,376,720,799,1155,233,902,1235,564,254,0.2,0.2,0.2,0.0,0.2,0.0,0.1,0.0,0.1,0.0,0.2,0.4,0.0,0.1,0.2,0.1
84,264,414,1261,891,1882,258,385,220,1763,979,0.0,0.0,0.2,0.1,0.3,0.0,0.2,0.1,0.1,0.0,0.4,0.1,0.2,0.1,0.1,0.1
85,1564,828,1090,200,252,1422,573,242,1681,1267,0.1,0.0,0.2,0.0,0.3,0.2,0.0,0.2,0.0,0.0,0.1,0.3,0.3,0.0,0.3,0.0
86,54,1342,1761,438,1387,204,970,977,1575,1327,0.0,0.1,0.1,0.2,0.0,0.0,0.2,0.2,0.0,0.2,0.2,0.0,0.1,0.3,0.3,0.1
87,1299,1080,794,1275,1441,29,212,972,182,1747,0.2,0.1,0.1,0.2,0.1,0.0,0.0,0.2,0.0,0.1,0.4,0.0,0.3,0.1,0.1,0.1
88,640,959,391,432,481,946,19,1405,1245,1340,0.0,0.1,0.2,0.1,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.0,0.1
89,692,1129,231,248,232,1817,1681,580,570,835,0.2,0.0,0.1,0.0,0.3,0.2,0.1,0.1,0.0,0.0,0.4,0.1,0.2,0.0,0.3,0.0
90,1106,952,886,1085,608,837,1701,607,1434,81,0.0,0.1,0.3,0.0,0.0,0.1,0.3,0.1,0.0,0.1,0.0,0.4,0.2,0.3,0.1,0.0
91,161,170,969,1677,922,843,688,1052,936,1598,0.0,0.3,0.0,0.1,0.1,0.2,0.2,0.0,0.0,0.1,0.1,0.2,0.4,0.0,0.3,0.0
92,892,83,1580,1277,639,845,1570,649,1646,236,0.0,0.1,0.0,0.1,0.1,0.0,0.4,0.2,0.1,0.0,0.0,0.3,0.2,0.2,0.3,0.0
93,209,1240,1878,1096,759,833,871,1422,1259,954,0.0,0.1,0.2,0.0,0.1,0.2,0.0,0.2,0.1,0.1,0.4,0.5,0.0,0.0,0.0,0.1
94,970,964,965,247,31,1129,953,59,83,1679,0.0,0.0,0.1,0.1,0.1,0.2,0.1,0.0,0.0,0.4,0.2,0.1,0.4,0.2,0.1,0.0
95,650,1644,7,1805,1747,1739,949,618,1148,1441,0.3,0.1,0.1,0.0,0.1,0.1,0.0,0.2,0.0,0.1,0.3,0.0,0.6,0.0,0.1,0.0
96,733,1629,1751,976,1247,1735,260,392,1404,715,0.2,0.1,0.0,0.0,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.3,0.2,0.0,0.0
97,1840,1036,751,1009,83,649,817,892,574,814,0.1,0.1,0.1,0.1,0.0,0.0,0.2,0.1,0.2,0.1,0.1,0.4,0.2,0.2,0.1,0.0
98,1139,481,860,1271,1322,1404,715,1795,208,973,0.0,0.0,0.1,0.1,0.2,0.0,0.2,0.1,0.2,0.1,0.1,0.3,0.3,0.1,0.2,0.0
99,572,568,212,1311,1903,1649,437,1278,1540,1873,0.2,0.1,0.2,0.1,0.0,0.1,0.0,0.1,0.2,0.0,0.5,0.2,0.1,0.0,0.1,0.1
